l,time
201,5.06414
345,5.10441
47,5.12533
295,5.45674
250,5.11478
199,5.21897
284,5.16185
39,5.98662
430,5.70964
510,5.55855
31,5.04769
493,5.65863
242,5.1159
262,5.12311
306,5.62685
438,6.34602
18,5.0987
464,5.24284
412,5.50167
264,5.3369
239,5.16995
99,4.92018
287,5.65446
181,5.1441
27,4.90941
296,6.71841
275,5.46476
131,5.22335
112,4.97175
481,5.6039
372,5.16154
140,5.84
286,5.21198
315,5.60267
453,5.24901
7,4.98404
247,5.16017
131,5.20641
315,5.38651
247,5.16443
454,5.58404
172,5.57078
252,5.17073
309,5.0385
330,5.65882
442,5.27079
351,5.3194
421,5.28941
485,5.51932
512,5.46609
435,5.22971
186,4.95336
15,5.36217
210,5.1467
203,5.48526
346,6.72212
19,5.14691
302,5.52124
181,5.04511
343,5.64176
81,5.14657
355,5.6374
370,5.84806
55,5.11974
376,5.24845
260,5.00793
112,5.6368
201,5.27817
413,5.35321
17,4.95759
420,5.63263
112,4.89559
436,5.521
46,4.98047
258,5.34866
379,5.87665
439,5.15296
36,6.4707
181,5.06023
418,5.17263
388,5.34387
70,5.4282
404,5.17771
337,5.76941
297,5.39755
388,5.75777
482,5.28466
310,5.16792
34,5.38571
44,4.9975
59,4.94274
388,5.35158
106,5.02263
322,5.09606
360,5.52317
474,5.32299
60,5.55209
317,5.15307
363,5.13381
334,5.44898
181,5.26559
441,5.15429
236,5.29804
221,5.09641
259,5.32945
318,6.23373
337,5.37416
449,5.46125
82,5.08474
358,5.15968
511,5.38715
147,5.67269
151,5.16033
253,6.01535
53,5.36581
369,6.26342
358,5.51531
55,5.20075
66,5.14893
51,4.95157
305,6.02665
359,5.14964
443,6.31449
406,5.23964
366,5.10756
163,5.60167
365,5.19639
154,5.80107
217,5.1536
171,5.1358
98,5.24429
403,5.50994
180,5.02063
60,5.53793
269,5.19574
358,5.2214
510,5.58274
101,5.59624
177,5.36362
320,5.24939
95,4.97996
142,5.19017
513,5.45317
326,5.07108
21,5.44985
301,5.25014
82,5.40384
48,5.00141
269,5.10559
288,5.32691
44,4.97699
316,5.07487
328,5.68898
286,5.19815
33,4.88355
93,5.21905
343,5.336
44,4.95037
134,6.09743
99,5.07767
484,5.82473
405,6.34785
119,5.26656
266,5.44857
238,5.07907
355,5.41882
172,5.08575
369,5.20451
10,5.10985
397,5.84092
211,5.06101
387,5.54041
223,5.40541
34,4.86716
87,5.34681
399,5.23325
429,5.19911
64,5.26384
337,5.50279
110,5.1937
120,5.51466
56,4.92654
349,5.39638
105,5.0524
285,5.26104
54,5.28231
330,5.53652
444,5.19059
191,5.63111
501,5.29962
164,5.19407
105,5.09027
502,5.24132
297,6.14363
313,5.11737
306,5.19703
384,5.3631
343,5.24854
107,4.90693
216,6.48394
160,5.41488
263,5.48318
406,5.35348
291,5.07085
259,6.15145
441,5.35668
208,5.25859
379,5.1724
39,5.69296
90,5.22381
120,5.01755
486,5.66169
295,5.24991
497,5.25093
200,6.06039
137,5.81314
227,5.2186
457,5.41162
204,5.07036
119,5.61448
196,5.27348
5,4.99977
345,6.76578
83,5.21072
493,6.18871
16,5.06771
117,5.104
99,5.27537
488,5.61853
458,5.40147
312,5.76445
509,5.47701
53,5.24394
229,5.59015
372,5.33382
490,6.04831
419,5.21378
146,5.19121
452,6.76996
421,6.12578
490,5.95457
103,5.06207
416,5.22993
264,5.53026
36,5.02352
3,4.96235
456,5.33959
249,5.00396
380,5.78328
419,5.34969
81,4.9508
499,5.87411
72,4.94635
77,4.92036
85,5.314
245,5.41638
464,5.53166
305,5.70224
486,5.29466
489,5.60822
333,5.19013
473,5.75355
160,5.1731
182,5.02968
494,5.8118
466,5.26135
36,4.92626
372,5.35831
133,5.13076
67,4.9465
227,5.93309
416,5.19502
131,6.6354
206,5.15104
45,5.36478
109,6.78659
117,4.97422
434,5.66828
464,5.32178
228,4.98431
235,5.30106
168,5.31505
167,5.00949
251,5.23059
418,5.17916
317,5.62464
159,5.27624
427,5.31661
348,5.65902
409,5.34429
464,5.32636
57,6.22517
386,5.83021
472,6.03732
37,5.22997
276,5.25512
293,5.65592
66,4.94215
78,5.12291
337,5.32805
216,5.03845
102,6.52853
295,5.1398
371,5.25927
81,6.0875
460,5.32337
380,5.3033
307,5.14404
221,5.47222
64,4.99749
416,5.28137
213,5.04122
305,5.21092
35,4.91069
89,5.50187
106,5.11075
457,5.50408
471,5.70865
405,5.67644
329,5.07752
249,5.19921
128,5.01581
373,5.18188
119,5.31653
431,5.63479
438,5.38977
146,5.05932
259,5.4927
446,5.45954
308,5.21085
347,5.13194
401,5.98988
338,5.17517
86,4.89443
281,5.36765
334,5.57372
301,5.45931
127,5.01223
425,5.33488
227,5.54096
444,5.43175
184,4.97614
256,5.44041
419,5.23195
95,5.28565
254,6.27219
268,5.42251
254,6.11279
512,5.79483
73,4.91877
170,5.78723
424,5.56897
95,5.16793
156,5.23801
115,4.97427
48,5.52016
436,5.27237
361,5.16188
83,5.1761
453,5.34595
81,4.96706
282,5.76481
120,5.28457
223,5.42623
372,5.69636
502,5.22667
87,5.31599
44,5.00718
314,5.48909
396,6.6606
437,5.36612
52,5.01049
48,5.31724
511,5.2869
500,5.50039
444,5.59412
270,5.02358
489,5.77961
89,5.03397
217,5.09944
210,5.09541
43,4.93888
235,5.67066
203,5.55604
457,5.42594
373,5.30218
507,5.229
75,5.61604
314,5.23278
490,5.44654
467,5.62282
68,4.93349
293,5.4445
108,5.22219
431,5.48718
255,5.24034
179,5.09595
129,4.98903
328,5.8583
180,5.07345
181,5.22375
143,5.48515
39,5.48183
373,5.4995
352,5.19921
44,4.9677
126,5.16491
450,6.16978
35,4.98821
358,5.63368
358,5.2409
80,5.16512
411,5.19734
289,5.28765
316,5.30543
160,5.44051
177,5.03378
508,5.53268
234,5.69876
55,4.95764
380,5.5208
31,4.90799
211,5.47786
329,5.25343
255,5.5387
131,5.31306
38,5.07531
222,4.98214
137,5.15364
98,4.94709
46,4.88676
286,5.33146
479,5.80211
269,5.67058
226,5.09756
447,5.18119
244,5.56066
43,4.97049
471,5.47931
395,5.26681
228,5.06377
194,5.0465
13,5.22126
115,5.74161
377,5.43969
288,5.17672
104,5.45285
91,6.21407
286,5.23067
324,5.11343
483,5.63492
86,5.04465
185,5.0195
135,5.11256
463,5.6522
117,4.99985
189,5.68498
481,5.19636
127,6.09441
260,5.23466
140,5.02179
282,5.23981
103,5.52157
322,5.37348
43,5.2206
390,5.70812
459,5.36103
455,5.28735
177,5.72574
44,5.39977
116,5.17174
97,5.15268
244,5.11026
184,5.43901
174,5.37173
175,5.09981
316,5.33459
481,5.61774
105,5.11106
145,5.32072
102,5.10972
17,5.70297
152,6.2251
96,5.04366
166,5.5438
87,5.10712
312,5.66901
201,5.2174
241,5.87181
96,5.24418
407,5.42758
352,6.08342
45,5.12883
249,5.3097
433,5.38503
110,5.17215
7,5.08511
287,5.32915
421,5.5137
461,5.82078
372,5.48744
491,5.4517
16,4.92952
302,5.23132
106,5.65618
459,5.21192
100,5.15116
381,5.26912
501,5.52099
75,5.38894
509,5.76178
376,5.26003
146,5.03436
508,5.76565
91,5.06545
232,5.21685
327,5.1001
375,5.46434
124,5.0054
350,5.19007
33,4.92455
14,4.92717
192,5.10917
